,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9,Mic10,Mic11,Mic12
18,0.00356404,0.008485257,0.03826221,0.010148781,0.010850754,0.015857638,0.011491985,0.01264375,0.011711966,0.014236571,0.012196155,0.01252989
19,0.003154624,0.007976161,0.017958191,0.009551873,0.010157175,0.033739639,0.010870046,0.011090563,0.012383371,0.012150711,0.010845245,0.011197094
20,0.00393953,0.010516857,0.017141601,0.010577568,0.012635051,0.043696866,0.011671826,0.012488026,0.014890318,0.014498018,0.012581141,0.013373957
21,0.003503884,0.006654111,0.012532171,0.009491622,0.008893006,0.013723975,0.01200233,0.010575842,0.010298823,0.014093777,0.009817418,0.009999427
22,0.004232726,0.010885832,0.014664117,0.011766148,0.016750179,0.016085755,0.014874848,0.013205692,0.01205895,0.017159818,0.012264315,0.012636783
23,0.003607821,0.010491246,0.00999214,0.01071648,0.014861576,0.009750213,0.012937146,0.011004084,0.009905331,0.014095019,0.009918132,0.011209622
24,0.004808913,0.01613572,0.01269627,0.013411731,0.042583798,0.012157905,0.013228023,0.016440515,0.0108335,0.015746278,0.01082088,0.01203008
25,0.004542455,0.014005666,0.009341224,0.013394835,0.037836048,0.012974507,0.013010894,0.013711368,0.00971573,0.014278072,0.011268821,0.010655906
26,0.006072904,0.015504988,0.008626851,0.01394909,0.018123064,0.010492627,0.012987166,0.013526596,0.010228933,0.014165669,0.010992103,0.009787945
27,0.00564847,0.010785223,0.00859747,0.016629514,0.011860484,0.00973258,0.01301879,0.011863969,0.009249373,0.013364293,0.011093902,0.009921864
28,0.0076379,0.007594251,0.007371502,0.038187608,0.009940076,0.009166703,0.016023245,0.010672211,0.009259921,0.014237781,0.011929352,0.009708216
29,0.009355605,0.00965756,0.007828769,0.037140874,0.011657911,0.010042199,0.014914348,0.012054095,0.009836812,0.0177696,0.013478998,0.012265166
30,0.004216881,0.006592378,0.005870168,0.016189301,0.00893785,0.008704179,0.027699424,0.011613118,0.010004229,0.016192503,0.011331365,0.009997176
31,0.005536827,0.009412773,0.008567578,0.017213464,0.010912794,0.011049412,0.039281359,0.013776492,0.010268146,0.019630334,0.01289572,0.010851994
32,0.003845454,0.006115553,0.005821214,0.01195139,0.008819808,0.009966159,0.015817791,0.012058348,0.009076929,0.014004502,0.01140494,0.010648055
33,0.00509158,0.011444781,0.008751955,0.0136478,0.011448799,0.011164735,0.017401625,0.017894613,0.010512399,0.020000045,0.014987878,0.011082156
34,0.003675616,0.007753073,0.007265947,0.010417058,0.009662335,0.009781647,0.01302522,0.013292973,0.009714058,0.020561079,0.012871114,0.011032149
